tt0032455	Fantasia	0	1940		125	Animation,Family,Fantasy	7.8
tt0032484	Foreign Correspondent	0	1940		120	Action,Romance,Thriller	7.6
tt0032551	The Grapes of Wrath	0	1940		129	Drama,History	8.1
tt0032553	The Great Dictator	0	1940		125	Comedy,Drama,War	8.5
tt0032599	His Girl Friday	0	1940		92	Comedy,Drama,Romance	8
tt0032904	The Philadelphia Story	0	1940		112	Comedy,Romance	8
tt0032910	Pinocchio	0	1940		88	Animation,Comedy,Family	7.5
tt0032976	Rebecca	0	1940		130	Drama,Mystery,Romance	8.2
tt0033045	The Shop Around the Corner	0	1940		99	Comedy,Drama,Romance	8.1
tt0033152	The Thief of Bagdad	0	1940		106	Adventure,Family,Fantasy	7.6
tt0033467	Citizen Kane	0	1941		119	Drama,Mystery	8.4
tt0033563	Dumbo	0	1941		64	Animation,Drama,Family	7.3
tt0033717	High Sierra	0	1941		100	Action,Adventure,Crime	7.6
tt0033729	How Green Was My Valley	0	1941		118	Drama,Family	7.8
tt0033804	The Lady Eve	0	1941		94	Comedy,Romance	8
tt0033870	The Maltese Falcon	0	1941		100	Film-Noir,Mystery	8.1
tt0033891	Meet John Doe	0	1941		122	Comedy,Drama,Romance	7.7
tt0034167	Sergeant York	0	1941		134	Biography,Drama,History	7.8
tt0034240	Sullivan's Travels	0	1941		90	Adventure,Comedy,Drama	8.1
tt0034248	Suspicion	0	1941		99	Mystery,Thriller	7.4
tt0034398	The Wolf Man	0	1941		70	Horror	7.4
tt0034492	Bambi	0	1942		70	Animation,Drama,Family	7.3
tt0034583	Casablanca	0	1942		102	Drama,Romance,War	8.5
tt0034587	Cat People	0	1942		73	Fantasy,Horror,Thriller	7.4
tt0034862	Holiday Inn	0	1942		100	Comedy,Drama,Musical	7.6
tt0035015	The Magnificent Ambersons	0	1942		88	Drama,Romance	7.9
tt0035093	Mrs. Miniver	0	1942		134	Drama,Romance,War	7.6
tt0035140	Now, Voyager	0	1942		117	Drama,Romance	8
tt0035279	Saboteur	0	1942		109	Thriller,War	7.2
tt0035423	Kate & Leopold	0	2001		118	Comedy,Fantasy,Romance	6.4
tt0035446	To Be or Not to Be	0	1942		99	Comedy,War	8.2
