tt0004972	nm0376221,nm0940604,nm0178270,nm0910400,nm0000428,nm0001273,nm0106922,nm0228746,nm0550615,nm0005658
tt0006864	nm0002616,nm0640437,nm0000428,nm0115218,nm0877548,nm0048512,nm1578667,nm0366008,nm0550615,nm0001273
tt0010323	nm0562346,nm0031350,nm0196820,nm0270415,nm0005959,nm0927468,nm0417917,nm0470328,nm0891998,nm0110640
tt0012349	nm0048798,nm0042317,nm0074788,nm0588033,nm0080930,nm0047800,nm0088471,nm0000122,nm0001067,nm0701012
tt0013442	nm0775180,nm0225868,nm0831290,nm0775659,nm0336057,nm0003638,nm0903194,nm0334603,nm0301961,nm0002302
tt0014429	nm0924065,nm0369841,nm0730018,nm0907778,nm0628345,nm0853130,nm0205192,nm0835128,nm0949927,nm0516001
tt0015064	nm0690143,nm0417837,nm2328000,nm0476130,nm0217848,nm0562346,nm0110640,nm0003638,nm0384897,nm0005959
tt0015324	nm0175068,nm3816287,nm0115669,nm0444172,nm0000036,nm0396327,nm0369841,nm0593477,nm0570230,nm0504380
tt0015648	nm0038595,nm0019886,nm0001178,nm0090434,nm0058290,nm0012810,nm0031446,nm0017893,nm0872308,nm1818632
tt0015864	nm0074788,nm0841501,nm1027682,nm0675356,nm0005906,nm1033900,nm0354913,nm0615306,nm0000122,nm0906618
tt0016220	nm0151606,nm0679907,nm0136886,nm0432216,nm0480677,nm0781292,nm0503693,nm0031033,nm0449908,nm0165470
tt0016847	nm0690143,nm0252472,nm0417837,nm0394806,nm0723801,nm0003638,nm0369458,nm0477515,nm0324473,nm0202392
tt0017136	nm0297054,nm0902376,nm0690143,nm0403288,nm0375609,nm0459030,nm0002380,nm0002154,nm0466851,nm0000485
tt0017925	nm1193626,nm0533045,nm0090213,nm0267650,nm0000036,nm0807667,nm0147070,nm0685904,nm0809548,nm0115669
tt0018455	nm0003638,nm0129721,nm0003546,nm0385012,nm0515272,nm0310980,nm0639563,nm0743017,nm0562346,nm0837183
tt0018773	nm0448224,nm0709466,nm0074788,nm0188357,nm0005906,nm0000122,nm0204639,nm0305087,nm0761866,nm0614730
tt0019254	nm0005789,nm1224245,nm0798564,nm0217865,nm0003433,nm0075551,nm0776914,nm0266029,nm0773138
tt0019421	nm0361882,nm0570297,nm0868458,nm0718469,nm0222354,nm0354229,nm0507827,nm0000036
tt0019760	nm1402732,nm0006219,nm0442227,nm0895048,nm0377973,nm0401682
tt0020629	nm0000817,nm0837989,nm0028636,nm0007973,nm0027173,nm0718871,nm0587277,nm0524803,nm0942046,nm0938464
tt0020640	nm0753452,nm0172074,nm0442151,nm0373511,nm0555597,nm0436095,nm0000050,nm0748438,nm0555617,nm2580347
tt0020697	nm0509510,nm0884665,nm0542777,nm0000017,nm0901629,nm0314777,nm0417837,nm0958454,nm0690143,nm0903049
tt0021577	nm0259722,nm0211381,nm0210587,nm0198557,nm0245178,nm0000320,nm0595321,nm0479475,nm0529227
tt0021749	nm0616729,nm0689661,nm0139714,nm0000122,nm0156039,nm0005906,nm5681967,nm0188357
tt0021814	nm0831290,nm0543115,nm0049721,nm0115218,nm0213019,nm0151377,nm0111313,nm0296859,nm0287124,nm0000509
tt0021884	nm0916811,nm0001843,nm0166972,nm0287124,nm0092900,nm0164883,nm0791217,nm0267020,nm0049721,nm0000472
tt0022100	nm0000048,nm0484737,nm0266239,nm0005922,nm0414825,nm0902376,nm0000485,nm0921532,nm0927145
tt0022286	nm0222354,nm0000010,nm0001318,nm0940589,nm0000951,nm0920074,nm0321891,nm0567515,nm0109148,nm0857710
tt0022835	nm0372698,nm0835365,nm0378555,nm0387561,nm0541149,nm0545298,nm0387556,nm0829044,nm0388755,nm0394244
tt0022913	nm0090213,nm0404885,nm0045754,nm0285922,nm0730317,nm0531269,nm0040374,nm0325135,nm0330390,nm0115218
tt0022958	nm0941138,nm0051354,nm0237033,nm0062139,nm0332539,nm0000891,nm0001076,nm0000858,nm0001256,nm0200125
tt0023027	nm2580347,nm0426953,nm0748438,nm0000050,nm0790654,nm0572851,nm0555597,nm0673279,nm0555617,nm0436095
tt0023245	nm0126365,nm0005713,nm0423685,nm0836181,nm0480673,nm0049721,nm0000472,nm0770337,nm0701233,nm0543115
tt0023427	nm0536941,nm0612847,nm0245304,nm0605904,nm0674019,nm0001328,nm0744514,nm0870660,nm0372942,nm0589316
tt0023622	nm0428177,nm0003339,nm0749476,nm0710723,nm0290215,nm0015801,nm0394244,nm0523932,nm0006123,nm0005800
tt0023649	nm0432143,nm0003433,nm0954632,nm0773525,nm0541675,nm0776914,nm0494257,nm0005789,nm0922170
tt0023969	nm0555688,nm0789049,nm0564970,nm0555597,nm0748438,nm0790654,nm0436095,nm0000050,nm0674759,nm0555617
tt0024184	nm0002545,nm0001647,nm0943804,nm0364203,nm0871287,nm0001843,nm0001784,nm0920229,nm0792670,nm0480673
tt0024216	nm0330390,nm0942039,nm0035877,nm0127677,nm0717046,nm0178260,nm0774325,nm0187256,nm0741656,nm0908624
tt0024844	nm0347447,nm0800302,nm0202120,nm0897118,nm0074268,nm0663077,nm0006144,nm0636677,nm0729960,nm0546621
tt0025316	nm0728307,nm0175369,nm0001008,nm0907900,nm0439850,nm0369879,nm0000022,nm0001055,nm0858977,nm0011343
tt0025452	nm0000048,nm0930539,nm0712653,nm0052203,nm0339326,nm0078923,nm0943922,nm0071657,nm0000033,nm0903687
tt0025878	nm0352443,nm0001635,nm0671738,nm0002197,nm0834898,nm0001485,nm0001577,nm0329304,nm0886754,nm0358591
tt0025913	nm0934819,nm0005634,nm0097006,nm0752193,nm0726166,nm0351425,nm0386944,nm1168002,nm0023907,nm0041000
tt0026029	nm0140914,nm0000033,nm0232196,nm0117955,nm0543169,nm0071657,nm0067308,nm0461497,nm0853607,nm0878604
tt0026138	nm0088662,nm0006471,nm0000472,nm0387753,nm0076653,nm0001843,nm0049721,nm0791217,nm0166972,nm0403398
tt0026174	nm0005803,nm0001651,nm0041172,nm0000014,nm0732452,nm0005735,nm0001224,nm0754581,nm0002031,nm0025497
tt0026752	nm0933133,nm0000022,nm0001452,nm0867144,nm0612743,nm0515979,nm0355681,nm0421255,nm0635079,nm0299154
tt0026778	nm0137634,nm0332539,nm0939992,nm0555617,nm0555597,nm0442151,nm0570130,nm0753452,nm0000036,nm0000050
tt0027125	nm0267022,nm0002143,nm0778818,nm0762263,nm0015801,nm0391750,nm0852313,nm0000001,nm0722424,nm0001677
tt0027977	nm0003424,nm0174682,nm0074788,nm0090008,nm0305087,nm0002104,nm0761866,nm0000122,nm0005906,nm0005806
tt0027996	nm0000011,nm0000795,nm0907900,nm0728307,nm0001008,nm0822034,nm0369879,nm0241523,nm0051628,nm0445502
tt0028010	nm0478441,nm0015399,nm0368719,nm0001635,nm0753452,nm0665850,nm0001479,nm0696190,nm0005898,nm0103567
tt0028096	nm0562845,nm0005835,nm0000007,nm0448981,nm0000012,nm0792845,nm0864931,nm0001366,nm0548929,nm0202681
tt0028212	nm0801026,nm0720904,nm0175676,nm0067308,nm0000033,nm0071657,nm0517058,nm0796662,nm0856469,nm0393028
tt0028333	nm0391750,nm0602005,nm0001677,nm0416861,nm0512231,nm0778818,nm0110813,nm0828419,nm0000001,nm0312510
tt0028597	nm0000026,nm0564970,nm0217568,nm0118227,nm0002050,nm0725017,nm0000897,nm0163617,nm0195422,nm0907900
tt0028772	nm0330390,nm0090213,nm0780833,nm0685265,nm0939992,nm0427452,nm0555617,nm0555597,nm0000050,nm0649183
tt0028950	nm0509073,nm0006158,nm0401123,nm0559300,nm0002233,nm0816458,nm0300064,nm0294382,nm0719756,nm0663077
tt0029162	nm0385264,nm0907900,nm0728307,nm0006323,nm0118227,nm0397397,nm0002143,nm0943553,nm0172903,nm0001008
tt0029583	nm0041165,nm0359457,nm0830968,nm0479164,nm0668998,nm0183183,nm0604392,nm0414144,nm0143314,nm0789313
tt0029843	nm0001224,nm0500284,nm0000014,nm0001647,nm0006157,nm0706993,nm0002031,nm0589316,nm0445033,nm0001651
tt0029870	nm0002285,nm0000010,nm0792130,nm0114602,nm0002031,nm0372942,nm0923333,nm0000007,nm0531269,nm0240417
tt0029947	nm0000026,nm0005797,nm0000031,nm0387000,nm0749476,nm0146185,nm0001328,nm0928444,nm0629580
tt0030241	nm0002030,nm0058129,nm0005832,nm0829330,nm0461615,nm0118227,nm0000031,nm0728305,nm0000026,nm0000817
tt0030341	nm0000033,nm0213164,nm0185055,nm0490950,nm0926599,nm0714878,nm0516994,nm0319148,nm0510134,nm0924781
tt0030993	nm0728307,nm0907900,nm0006323,nm0366454,nm0000795,nm0000071,nm0442151,nm0000859,nm0036427,nm0001008
tt0031381	nm0939992,nm0000046,nm0397608,nm0000022,nm0002030,nm0308177,nm0593775,nm0281808,nm0593565,nm0641966
tt0031679	nm0006323,nm0287931,nm0000795,nm0175333,nm0001008,nm0001647,nm0907900,nm0000071,nm0118227,nm0036427
tt0031725	nm0001256,nm0523932,nm0281556,nm0006128,nm0000509,nm0102818,nm0000697,nm0163257,nm0002048,nm0501872
tt0031762	nm0001932,nm0907900,nm0299154,nm0710299,nm0341178,nm0000026,nm0006323,nm0000028,nm0000795,nm0001328
tt0031867	nm0313438,nm0049898,nm0000010,nm0531335,nm0909825,nm0744035,nm0000007,nm0907003,nm0485509,nm0375446
tt0031885	nm0719756,nm0022437,nm0197950,nm0002569,nm0239513,nm0501116,nm0664186,nm0006158,nm0045404,nm0339669
tt0031971	nm0222596,nm0872456,nm0372942,nm0000078,nm0001017,nm0522635,nm0370697,nm0322688,nm0629580,nm0000406
tt0032138	nm0281808,nm0002030,nm0481618,nm0001961,nm0851537,nm0000023,nm0503777,nm0604656,nm0486538,nm0896542
tt0032143	nm0002030,nm0829330,nm0751426,nm0002616,nm0001076,nm0613848,nm0790454,nm0524403,nm0092683,nm0280234
tt0032145	nm0733460,nm0643353,nm0001379,nm0000057,nm0111577,nm0326418,nm0943758,nm0372942,nm0531269,nm0000059
tt0032455	nm0359610,nm0000370,nm0123553,nm0359457,nm0831439,nm0272568,nm0019282,nm1968474,nm0852252,nm0035899
tt0032484	nm0206478,nm0566948,nm0070361,nm0372942,nm0385264,nm0000033,nm0365661,nm0001695,nm0071657,nm0003339
tt0032551	nm0825705,nm0000406,nm0001017,nm0953123,nm0002034,nm0335788,nm0425913,nm0000020,nm0005904,nm0801184
tt0032553	nm0199787,nm0835365,nm0642988,nm0317970,nm0630119,nm0000122,nm0354916,nm0306786,nm0005906,nm0002104
tt0032599	nm0000897,nm0000026,nm0496468,nm0372942,nm0001328,nm0531269,nm0753452,nm0516876,nm0907900,nm0751426
tt0032904	nm0002030,nm0759029,nm0000031,nm0058129,nm0000071,nm0000077,nm0829330,nm0000581,nm0000026,nm0404046
tt0032910	nm0527217,nm0414144,nm0000305,nm0373429,nm0730860,nm0272568,nm0427934,nm0455741,nm0110893,nm0747759
tt0032976	nm0000059,nm0238898,nm0000033,nm0000752,nm0001695,nm0000021,nm0531878,nm0365661,nm0792845,nm0389580
tt0033045	nm0771584,nm0200125,nm0000071,nm0523932,nm0604656,nm0710723,nm0529450,nm0006128,nm0372942,nm0837925
tt0033152	nm0003836,nm0466113,nm0466099,nm0243454,nm0433188,nm0924065,nm0754942,nm0003490,nm0891998,nm0580017
