nm0000001	Fred Astaire	1899	1987	M
nm0000002	Lauren Bacall	1924	2014	F
nm0000003	Brigitte Bardot	1934	-1	F
nm0000004	John Belushi	1949	1982	M
nm0000005	Ingmar Bergman	1918	2007	M
nm0000006	Ingrid Bergman	1915	1982	F
nm0000007	Humphrey Bogart	1899	1957	M
nm0000008	Marlon Brando	1924	2004	M
nm0000009	Richard Burton	1925	1984	M
nm0000010	James Cagney	1899	1986	M
nm0000011	Gary Cooper	1901	1961	M
nm0000012	Bette Davis	1908	1989	F
nm0000013	Doris Day	1922	-1	F
nm0000014	Olivia de Havilland	1916	-1	F
nm0000015	James Dean	1931	1955	M
nm0000017	Marlene Dietrich	1901	1992	F
nm0000018	Kirk Douglas	1916	-1	M
nm0000020	Henry Fonda	1905	1982	M
nm0000021	Joan Fontaine	1917	2013	F
nm0000022	Clark Gable	1901	1960	M
nm0000023	Judy Garland	1922	1969	F
nm0000024	John Gielgud	1904	2000	M
nm0000026	Cary Grant	1904	1986	M
nm0000027	Alec Guinness	1914	2000	M
nm0000028	Rita Hayworth	1918	1987	F
nm0000030	Audrey Hepburn	1929	1993	F
nm0000031	Katharine Hepburn	1907	2003	F
nm0000032	Charlton Heston	1923	2008	M
nm0000033	Alfred Hitchcock	1899	1980	M
nm0000034	William Holden	1918	1981	M
nm0000036	Buster Keaton	1895	1966	M
nm0000037	Gene Kelly	1912	1996	M
nm0000038	Grace Kelly	1929	1982	F
nm0000039	Deborah Kerr	1921	2007	F
nm0000042	Alan Ladd	1913	1964	M
nm0000043	Veronica Lake	1922	1973	F
nm0000044	Burt Lancaster	1913	1994	M
nm0000045	Bruce Lee	1940	1973	M
nm0000046	Vivien Leigh	1913	1967	F
nm0000047	Sophia Loren	1934	-1	F
nm0000048	Peter Lorre	1904	1964	M
nm0000050	Groucho Marx	1890	1977	M
nm0000051	James Mason	1909	1984	M
nm0000052	Marcello Mastroianni	1924	1996	M
nm0000053	Robert Mitchum	1917	1997	M
nm0000054	Marilyn Monroe	1926	1962	F
nm0000056	Paul Newman	1925	2008	M
nm0000057	David Niven	1910	1983	M
nm0000058	Maureen O'Hara	1920	2015	F
nm0000059	Laurence Olivier	1907	1989	M
nm0000060	Gregory Peck	1916	2003	M
nm0000061	Tyrone Power	1914	1958	M
nm0000063	Anthony Quinn	1915	2001	M
nm0000064	Edward G. Robinson	1893	1973	M
nm0000066	Jane Russell	1921	2011	F
nm0000068	Randolph Scott	1898	1987	M
nm0000069	Frank Sinatra	1915	1998	M
nm0000071	James Stewart	1908	1997	M
nm0000072	Elizabeth Taylor	1932	2011	F
nm0000073	Shirley Temple	1928	2014	F
nm0000074	Gene Tierney	1920	1991	F
nm0000075	Spencer Tracy	1900	1967	M
nm0000078	John Wayne	1907	1979	M
nm0000079	Raquel Welch	1940	-1	F
nm0000080	Orson Welles	1915	1985	M
nm0000081	Natalie Wood	1938	1981	F
nm0000084	Li Gong	1965	-1	F
nm0000086	Louis de Fun̬s	1914	1983	M
nm0000090	Armin Mueller-Stahl	1930	-1	M
nm0000091	G̩rard Pir̬s	1942	-1	M
nm0000092	John Cleese	1939	-1	M
nm0000093	Brad Pitt	1963	-1	M
nm0000095	Woody Allen	1935	-1	M
nm0000096	Gillian Anderson	1968	-1	F
nm0000097	Pamela Anderson	1967	-1	F
nm0000098	Jennifer Aniston	1969	-1	F
nm0000099	Patricia Arquette	1968	-1	F
nm0000100	Rowan Atkinson	1955	-1	M
nm0000101	Dan Aykroyd	1952	-1	M
nm0000102	Kevin Bacon	1958	-1	M
nm0000103	Fairuza Balk	1974	-1	F
nm0000104	Antonio Banderas	1960	-1	M
nm0000105	Adrienne Barbeau	1945	-1	F
nm0000106	Drew Barrymore	1975	-1	F
nm0000107	Kim Basinger	1953	-1	F
nm0000109	Yasmine Bleeth	1968	-1	F
nm0000110	Kenneth Branagh	1960	-1	M
nm0000111	Matthew Broderick	1962	-1	M
nm0000112	Pierce Brosnan	1953	-1	M
nm0000113	Sandra Bullock	1964	-1	F
nm0000114	Steve Buscemi	1957	-1	M
nm0000115	Nicolas Cage	1964	-1	M
nm0000117	Neve Campbell	1973	-1	F
nm0000119	Tia Carrere	1967	-1	F
nm0000120	Jim Carrey	1962	-1	M
nm0000121	Phoebe Cates	1963	-1	F
nm0000122	Charles Chaplin	1889	1977	M
nm0000123	George Clooney	1961	-1	M
nm0000124	Jennifer Connelly	1970	-1	F
nm0000125	Sean Connery	1930	-1	M
nm0000126	Kevin Costner	1955	-1	M
nm0000128	Russell Crowe	1964	-1	M
nm0000129	Tom Cruise	1962	-1	M
nm0000130	Jamie Lee Curtis	1958	-1	F
nm0000131	John Cusack	1966	-1	M
nm0000132	Claire Danes	1979	-1	F
nm0000133	Geena Davis	1956	-1	F
nm0000134	Robert De Niro	1943	-1	M
nm0000136	Johnny Depp	1963	-1	M
nm0000137	Bo Derek	1956	-1	F
nm0000138	Leonardo DiCaprio	1974	-1	M
nm0000139	Cameron Diaz	1972	-1	F
