tt0029947	Bringing Up Baby	Bringing Up Baby		102	Comedy,Family,Romance	8	48267
tt0030241	Holiday	Holiday		95	Comedy,Romance	7.8	11948
tt0030341	The Lady Vanishes	The Lady Vanishes		96	Mystery,Thriller	7.9	39454
tt0030993	You Can't Take It with You	You Can't Take It with You		126	Comedy,Drama,Romance	8	19598
tt0031381	Gone with the Wind	Gone with the Wind		238	Drama,History,Romance	8.2	241214
tt0031679	Mr. Smith Goes to Washington	Mr. Smith Goes to Washington		129	Comedy,Drama	8.2	86825
tt0031725	Ninotchka	Ninotchka		110	Comedy,Romance	8	15915
tt0031762	Only Angels Have Wings	Only Angels Have Wings		121	Adventure,Drama,Romance	7.7	10043
tt0031867	The Roaring Twenties	The Roaring Twenties		106	Action,Crime,Drama	7.9	10527
tt0031885	The Rules of the Game	La règle du jeu		110	Comedy,Drama	8.1	22640
tt0031971	Stagecoach	Stagecoach		96	Adventure,Western	7.9	34758
tt0032138	The Wizard of Oz	The Wizard of Oz		102	Adventure,Family,Fantasy	8.1	324347
tt0032143	The Women	The Women		133	Comedy,Drama	8	10666
tt0032145	Wuthering Heights	Wuthering Heights		104	Drama,Romance	7.7	13875
tt0032455	Fantasia	Fantasia		125	Animation,Family,Fantasy	7.8	77572
tt0032484	Foreign Correspondent	Foreign Correspondent		120	Action,Romance,Thriller	7.6	15159
tt0032551	The Grapes of Wrath	The Grapes of Wrath		129	Drama,History	8.1	71379
tt0032553	The Great Dictator	The Great Dictator		125	Comedy,Drama,War	8.5	159981
tt0032599	His Girl Friday	His Girl Friday		92	Comedy,Drama,Romance	8	45125
tt0032904	The Philadelphia Story	The Philadelphia Story		112	Comedy,Romance	8	54574
tt0032910	Pinocchio	Pinocchio		88	Animation,Comedy,Family	7.5	104503
tt0032976	Rebecca	Rebecca		130	Drama,Mystery,Romance	8.2	98924
tt0033045	The Shop Around the Corner	The Shop Around the Corner		99	Comedy,Drama,Romance	8.1	22569
tt0033152	The Thief of Bagdad	The Thief of Bagdad		106	Adventure,Family,Fantasy	7.6	10021
tt0033467	Citizen Kane	Citizen Kane		119	Drama,Mystery	8.4	332454
tt0033563	Dumbo	Dumbo		64	Animation,Drama,Family	7.3	97426
tt0033717	High Sierra	High Sierra		100	Action,Adventure,Crime	7.6	12530
tt0033729	How Green Was My Valley	How Green Was My Valley		118	Drama,Family	7.8	17573
tt0033804	The Lady Eve	The Lady Eve		94	Comedy,Romance	8	16163
tt0033870	The Maltese Falcon	The Maltese Falcon		100	Film-Noir,Mystery	8.1	127045
tt0033891	Meet John Doe	Meet John Doe		122	Comedy,Drama,Romance	7.7	10168
