33870	The Maltese Falcon	The Maltese Falcon	1941	100	128577	8.1
33891	Meet John Doe	Meet John Doe	1941	122	10202	7.7
34167	Sergeant York	Sergeant York	1941	134	13360	7.8
34240	Sullivan's Travels	Sullivan's Travels	1941	90	20298	8.1
34248	Suspicion	Suspicion	1941	99	26682	7.4
34398	The Wolf Man	The Wolf Man	1941	70	19059	7.4
34583	Casablanca	Casablanca	1942	102	438090	8.5
34587	Cat People	Cat People	1942	73	15568	7.4
34862	Holiday Inn	Holiday Inn	1942	100	10341	7.6
35015	The Magnificent Ambersons	The Magnificent Ambersons	1942	88	18494	7.9
35093	Mrs. Miniver	Mrs. Miniver	1942	134	13027	7.6
35140	Now, Voyager	Now, Voyager	1942	117	12593	8
35279	Saboteur	Saboteur	1942	109	19599	7.2
35423	Kate & Leopold	Kate & Leopold	2001	118	70520	6.4
35446	To Be or Not to Be	To Be or Not to Be	1942	99	21479	8.2
35575	Yankee Doodle Dandy	Yankee Doodle Dandy	1942	126	12139	7.8
36112	The Life and Death of Colonel Blimp	The Life and Death of Colonel Blimp	1943	163	10974	8.2
36244	The Ox-Bow Incident	The Ox-Bow Incident	1943	75	17679	8.1
36342	Shadow of a Doubt	Shadow of a Doubt	1943	108	50227	8
36613	Arsenic and Old Lace	Arsenic and Old Lace	1944	118	58678	8
36775	Double Indemnity	Double Indemnity	1944	107	113639	8.3
36855	Gaslight	Gaslight	1944	114	19193	7.9
36868	The Best Years of Our Lives	The Best Years of Our Lives	1946	170	46911	8.1
37008	Laura	Laura	1944	88	35675	8.1
37017	Lifeboat	Lifeboat	1944	97	22648	7.8
37059	Meet Me in St. Louis	Meet Me in St. Louis	1944	113	16866	7.7
37382	To Have and Have Not	To Have and Have Not	1944	100	25979	8
37469	The Woman in the Window	The Woman in the Window	1944	107	10665	7.8
37515	And Then There Were None	And Then There Were None	1945	97	10401	7.6
37558	Brief Encounter	Brief Encounter	1945	86	29379	8.1
37638	Detour	Detour	1945	68	11200	7.4
37674	Children of Paradise	Les enfants du paradis	1945	189	15795	8.3
37884	The Lost Weekend	The Lost Weekend	1945	101	28363	8
37913	Mildred Pierce	Mildred Pierce	1945	111	18443	8
38057	Scarlet Street	Scarlet Street	1945	102	11395	7.9
38109	Spellbound	Spellbound	1945	111	36589	7.6
38348	Beauty and the Beast	La belle et la bête	1946	96	20931	8
38355	The Big Sleep	The Big Sleep	1946	114	69822	8
38559	Gilda	Gilda	1946	110	22972	7.8
38574	Great Expectations	Great Expectations	1946	118	19207	8
38650	It's a Wonderful Life	It's a Wonderful Life	1946	130	322315	8.6
38669	The Killers	The Killers	1946	103	15686	7.8
38733	Stairway to Heaven	A Matter of Life and Death	1946	104	15509	8.1
38762	My Darling Clementine	My Darling Clementine	1946	97	18143	7.8
38787	Notorious	Notorious	1946	101	80362	8
38854	The Postman Always Rings Twice	The Postman Always Rings Twice	1946	113	15576	7.6
38890	Rome, Open City	Roma città aperta	1945	103	18706	8.1
38991	The Stranger	The Stranger	1946	95	15168	7.4
39190	The Bishop's Wife	The Bishop's Wife	1947	109	11494	7.6
39192	Black Narcissus	Black Narcissus	1947	101	17608	8
39302	Dark Passage	Dark Passage	1947	106	14464	7.6
39416	Gentleman's Agreement	Gentleman's Agreement	1947	118	12403	7.4
39420	The Ghost and Mrs. Muir	The Ghost and Mrs. Muir	1947	104	13135	7.9
39628	Miracle on 34th Street	Miracle on 34th Street	1947	96	34385	7.9
39631	Monsieur Verdoux	Monsieur Verdoux	1947	124	13010	8
39689	Out of the Past	Out of the Past	1947	97	26625	8.1
40068	Abbott and Costello Meet Frankenstein	Bud Abbott Lou Costello Meet Frankenstein	1948	83	12163	7.6
40369	Fort Apache	Fort Apache	1948	128	13855	7.6
40416	Hamlet	Hamlet	1948	154	13052	7.8
40506	Key Largo	Key Largo	1948	100	31714	7.9
40522	Bicycle Thieves	Ladri di biciclette	1948	89	111982	8.3
40525	The Lady from Shanghai	The Lady from Shanghai	1947	87	21542	7.7
40724	Red River	Red River	1948	133	23684	7.8
40725	The Red Shoes	The Red Shoes	1948	134	22682	8.3
40746	Rope	Rope	1948	80	107054	8
40897	The Treasure of the Sierra Madre	The Treasure of the Sierra Madre	1948	126	91350	8.3
41090	Adam's Rib	Adam's Rib	1949	101	17013	7.6
41113	All the King's Men	All the King's Men	1949	110	11082	7.5
41154	Late Spring	Banshun	1949	108	10643	8.3
41452	The Heiress	The Heiress	1949	115	10980	8.2
41546	Kind Hearts and Coronets	Kind Hearts and Coronets	1949	106	30295	8.1
41699	Stray Dog	Nora inu	1949	122	12224	7.9
41716	On the Town	On the Town	1949	98	13504	7.6
41866	She Wore a Yellow Ribbon	She Wore a Yellow Ribbon	1949	103	13213	7.4
41959	The Third Man	The Third Man	1949	104	130334	8.2
41996	Twelve O'Clock High	Twelve O'Clock High	1949	132	10899	7.8
42041	White Heat	White Heat	1949	114	22905	8.2
42192	All About Eve	All About Eve	1950	138	96377	8.3
42208	The Asphalt Jungle	The Asphalt Jungle	1950	112	19902	7.9
42546	Harvey	Harvey	1950	104	47814	8
42593	In a Lonely Place	In a Lonely Place	1950	94	20211	8
42804	The Young and the Damned	Los olvidados	1950	85	14836	8.3
42876	Rashomon	Rashômon	1950	88	119531	8.3
42895	Rio Grande	Rio Grande	1950	105	11658	7.2
42994	Stage Fright	Stage Fright	1950	110	10528	7.1
43014	Sunset Boulevard	Sunset Blvd.	1950	110	161385	8.5
43137	Winchester '73	Winchester '73	1950	92	13950	7.7
43265	The African Queen	The African Queen	1951	105	63141	7.9
43278	An American in Paris	An American in Paris	1951	114	25178	7.2
43338	Ace in the Hole	Ace in the Hole	1951	111	22203	8.2
43456	The Day the Earth Stood Still	The Day the Earth Stood Still	1951	92	69087	7.8
43924	A Place in the Sun	A Place in the Sun	1951	122	16761	7.8
